User,Comment
fida310,MaasyaaAllah si kaseep
nrxzra_,"Buat yang komen jahat, semoga balik ke diri sendiri."
xxyouria_,"kok orang2 jahat banget ya ketikannya, ga ngerti lagi sihh sama orang2 yg suka bgtt ngehina fisik orang lain"
astriivo08,Kok lama lama mirip Tukul ya
taldv_,"Ksini krn Twitter, I'm not a leslar fans, tapi komenan bodyshaming udah keterlaluan sih. Sama komen ""begini tanggepan Lesti"" udah terlalu latah, jadinya gak lucu lagi."
somedayssi17,Ih warga ig serem serem trnyata komenannya smgaa di usut lah ya ngehina fisik org ya
mirnha10_,Ku kira monyet ternayata dajal
vn_rajjjj,Muka lesty kayak hantu di film IT
murni_sulistiani26,Kok tambah punya anak tambah jelek sih…….
fanykandow,Mirip daus mini anaknya
ismi_wadidaw2404,Ko gtu sih muka baby nya
mommy_air9,Jelek bgt
rajja9296,Udah kayak anjing kau kayak gitu nggos
nafilahaziz,Semangatt teruss yaa inshaAllah suatu hari akan dipertemukan dgn org yg tulus keke org baik hrs percaya itu
yusuppp.23,"Dia bermaksud buat ngehibur, klo kalian ga merasa terhibur yaa cari hiburan yg lain, gausah ngebuli."
joovi_ii,"Sakit sakit ni orang dikomen, semoga sadar ketikan kalian. Dijaga ketikannya"
shandy1335,"Kayak anak terbelakangan mental. Bnyak halu ny, urat malu gak ad. Etika jadi wanita dmana?"
rizaldy4689,Kakak kok jelek sih?
_wayba,Hidup jangan saling menjatuhkan kak😭
andramol123,"Caption sama mukanya kok gak pantes yah kalo di di sandingkan bareng, aneh aja gitu"
